,radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
2025660,GSM,334,3,9020,36952,0,-99.090225,19.426712,1000,5,1,1286234121,1492034593,0
2025669,GSM,334,3,16003,36771,0,-102.265462,20.036617,4341,32,1,1286235118,1312896135,0
2025678,GSM,334,3,9020,33901,0,-99.0905,19.427260999999998,1000,2,1,1286236221,1490917188,0
2025689,GSM,334,20,2531,47532,0,-102.2696685791,20.080947875977,1000,1,1,1286216507,1286216507,0
2025695,GSM,334,3,30001,32431,0,-96.901674,19.554585999999997,12044,14,1,1286236783,1459911282,0
2025718,GSM,334,3,30001,32504,0,-96.915338,19.557855,1000,21,1,1286237083,1465054014,0
2025745,GSM,334,3,9008,30913,0,-99.174408,19.427695999999997,1051,120,1,1286240121,1479416672,0
2025747,GSM,334,3,9008,5653,0,-99.168109,19.426773,1000,76,1,1286242822,1479416672,0
2025764,GSM,334,3,30000,31471,0,-96.19479100000001,19.211273000000002,1786,7,1,1286250017,1494172427,0
2025765,GSM,334,3,9009,31552,0,-99.147204,19.435805,1000,86,1,1286252102,1479406132,0
2025766,GSM,334,3,2007,31362,0,-114.904525,32.520818,6320,7,1,1286254217,1318793673,0
2025773,GSM,334,3,2007,31471,0,-115.321919,32.563389,1758,78,1,1286259619,1334612634,0
2025774,GSM,334,3,2007,31473,0,-115.32287600000001,32.560883000000004,2511,18,1,1286260219,1334344723,0
2025782,GSM,334,3,9023,8211,0,-99.242935180664,19.556350708008,1000,1,1,1286246294,1286246294,0
2025783,GSM,334,3,9023,912,0,-99.303359985352,19.57145690918,1000,1,1,1286246897,1286246897,0
2025871,GSM,334,3,30000,31193,0,-96.253280639648,19.137496948242,1000,1,1,1286264121,1286264121,0
2025872,GSM,334,3,16014,37162,0,-102.27668100000001,20.32154,15046,115,1,1286284511,1428785592,0
2025876,GSM,334,3,16014,37161,0,-102.32680500000001,20.298742999999998,9519,349,1,1286285111,1428785592,0
2025877,GSM,334,3,16014,37163,0,-102.37051,20.2727,8723,484,1,1286285711,1482058484,0
2025879,GSM,334,3,30024,31762,0,-96.318217,18.846556,4354,7,1,1286286620,1306170063,0
2025886,GSM,334,3,9014,31263,0,-99.22122399999999,19.562367000000002,1000,21,1,1286289901,1407651831,0
2025895,GSM,334,3,2010,31283,0,-115.369578,32.582024,2845,175,1,1286296818,1433714191,0
2025898,GSM,334,20,2031,57527,0,-103.020822,20.671482,2822,74,1,1286297714,1361020572,0
2025900,GSM,334,3,2010,31592,0,-115.44056200000001,32.665447,5301,4,1,1286301975,1472294281,0
2025902,GSM,334,3,14032,30981,0,-103.131637,20.573509,7952,6,1,1286303415,1329906222,0
2025905,GSM,334,3,9023,782,0,-99.218395,19.56883,2399,23,1,1286304798,1340585938,0
2025906,GSM,334,3,14032,30803,0,-103.35237099999999,20.576981,1000,5,1,1286305515,1301028314,0
